Year,Audience,Attendees,Program Location
2015,Teacher Workshops,1426,Central Office
2015,Teacher Workshops,213,Five Rivers
2015,Teacher Workshops,263,Region 1
2015,Teacher Workshops,532,Region 2
2015,Teacher Workshops,278,Regions 6/7/8
2015,Teacher Workshops,211,Reinstein
2015,Youth Guided,1342,Five Rivers
2015,Youth Guided,255,Region 1
2015,Youth Guided,956,Region 2
2015,Youth Guided,146,Regions 6/7/8
2015,Youth Guided,3253,Reinstein
2014,Adult Groups,516,Five Rivers
2014,Adult Groups,51,Region 1
2014,Adult Groups,18,Regions 6/7/8
2014,Adult Groups,530,Reinstein
2014,After School Conservation Club,146,Five Rivers
2014,After School Conservation Club,2091,Region 2
2014,After School Conservation Club,578,Reinstein
2014,Camps,1545,Camps
2014,Day in the Life,340,Region 1
2014,Day in the Life,70,Region 2
2014,Day in the Life,196,Reinstein
2014,Drop-in Visitation,50002,Five Rivers
2014,Drop-in Visitation,60285,Reinstein
2014,Educator Support,60,Central Office
2014,Educator Support,631,Five Rivers
2014,Educator Support,47,Region 1
2014,Educator Support,232,Region 2
2014,Educator Support,169,Regions 6/7/8
2014,Educator Support,231,Reinstein
2014,Envirothon,220,Region 1
2014,Envirothon,80,Region 2
2014,Envirothon,200,Regions 6/7/8
2014,Fairs & Fesitvals,4177,Five Rivers
2014,Fairs & Fesitvals,22286,Region 1
2014,Fairs & Fesitvals,2074,Region 2
2014,Fairs & Fesitvals,3000,Regions 6/7/8
2014,Fairs & Fesitvals,95255,Reinstein
2014,General Public Programs,1978,Five Rivers
2014,General Public Programs,362,Region 1
2014,General Public Programs,394,Region 2
2014,General Public Programs,1166,Reinstein
2014,Groups Using Facility - no program,1775,Five Rivers
2014,Groups Using Facility - no program,842,Reinstein
2014,Public Contacts & Questions,5500,Five Rivers
2014,Public Contacts & Questions,420,Region 1
2014,Public Contacts & Questions,230,Region 2
2014,Public Contacts & Questions,209,Regions 6/7/8
2014,Public Contacts & Questions,42031,Reinstein
2014,School Guided,6246,Five Rivers
2014,School Guided,14843,Region 1
2014,School Guided,563,Region 2
2014,School Guided,16445,Regions 6/7/8
2014,School Guided,6293,Reinstein
2014,Self-guided School & Youth,2015,Five Rivers
2014,Self-guided School & Youth,265,Reinstein
2014,Teacher Workshops,385,Central Office
2014,Teacher Workshops,156,Five Rivers
2014,Teacher Workshops,252,Region 1
2014,Teacher Workshops,415,Region 2
2014,Teacher Workshops,243,Regions 6/7/8
2014,Teacher Workshops,152,Reinstein
2014,Youth Guided,1442,Five Rivers
2014,Youth Guided,495,Region 1
2014,Youth Guided,509,Region 2
2014,Youth Guided,125,Regions 6/7/8
2014,Youth Guided,3095,Reinstein
